index;x;y;z
0;-0.006945;-0.022378;0.022379
1;0.018905;-0.006623;-0.016486
2;0.019804;0.021283;-0.001822
3;0.013950;0.006801;-0.014297
4;0.004788;-0.000040;-0.016764
5;0.017467;0.001975;0.000536
6;0.006516;-0.014838;0.020314
7;0.020065;0.001219;0.032763
8;0.017070;-0.027647;-0.007332
9;0.075331;-0.015301;0.035138
10;0.098052;-0.049884;0.051659
11;0.183575;0.003343;-0.043503
12;0.065028;-0.065820;0.065987
13;0.140174;0.015562;-0.062100
14;0.104744;-0.045321;-0.040111
15;0.171674;-0.011865;-0.016190
16;0.125155;-0.046035;0.044280
17;0.169987;0.017133;0.027576
18;0.130652;0.012192;-0.014858
19;0.158276;0.048899;-0.012850
20;0.098431;0.022101;0.002501
21;0.096653;-0.000869;-0.086168
22;-0.025246;-0.004940;-0.019824
23;0.058466;-0.034541;-0.049884
24;-0.001163;0.001210;-0.125192
25;-0.050202;-0.004870;0.018678
26;0.002905;0.026640;0.010745
27;-0.045396;-0.016954;0.141570
28;0.016664;0.010606;0.111674
29;0.042811;-0.019930;0.150965
30;0.115896;0.025969;0.046672
31;0.092713;-0.050088;0.042187
32;0.079872;-0.046221;-0.038068
33;0.004193;-0.052354;-0.025413
34;0.090010;0.073846;-0.089145
35;-0.003505;-0.006470;-0.160007
36;0.022929;0.080484;-0.050940
37;0.035915;0.113711;-0.068100
38;-0.031206;0.026636;0.034271
39;-0.009438;0.082827;-0.023565
40;-0.057215;0.020545;0.126318
41;-0.010034;0.071103;-0.029884
42;-0.016681;0.061388;0.069429
43;-0.017877;-0.011464;-0.000328
44;-0.062507;-0.014719;-0.015930
45;-0.013029;0.011966;-0.101621
46;-0.164655;-0.106799;-0.077319
47;0.065742;0.039051;0.073871
48;-0.156670;0.031465;-0.016128
49;0.003063;0.090744;-0.018281
50;-0.042365;-0.053769;0.073175
51;-0.028834;0.003090;0.142450
52;0.013004;0.011546;0.111907
53;-0.006531;-0.006211;0.083967
54;0.016190;-0.029966;0.043301
55;0.015952;-0.063167;-0.042105
56;0.030052;-0.027295;-0.182539
57;-0.096200;-0.089463;0.001288
58;-0.017313;0.056232;-0.241385
59;-0.145827;0.001083;-0.029179
60;-0.000228;0.095644;0.002929
61;-0.081186;0.053346;0.070877
62;-0.051712;0.098626;0.019609
63;-0.064411;0.022797;0.104882
64;-0.067114;0.020002;0.061171
65;-0.019023;0.052016;-0.022092
66;-0.050844;-0.026544;0.034511
67;-0.031356;0.007957;-0.022196
68;-0.060372;-0.010893;-0.050180
69;-0.173178;0.011996;-0.059394
70;-0.082242;0.038399;-0.085175
71;-0.131381;0.037690;-0.053442
72;-0.172846;0.085921;-0.013069
73;-0.110618;0.052147;-0.002710
74;-0.173486;-0.034285;0.045164
75;-0.064324;0.072167;0.064082
76;-0.097634;0.009454;0.003647
77;-0.024640;0.024242;0.050257
78;-0.037998;0.002850;0.003749
79;-0.071559;0.024874;-0.077909
80;-0.003378;0.070768;-0.056963
81;-0.000609;0.035680;-0.006733
82;-0.052580;-0.005991;0.024950
83;-0.041306;0.033707;-0.052972
84;0.025463;0.002612;0.009706
85;-0.022987;-0.003459;-0.022919
86;0.014095;-0.002456;-0.010774
87;-0.004786;-0.003412;0.010220
88;-0.004182;0.008010;0.017517
89;-0.010787;-0.002155;0.010639
90;-0.004036;0.010976;0.009242
91;-0.015226;0.016823;0.003401
92;-0.050089;0.018853;-0.007805
93;-0.093691;0.032782;-0.012979
94;-0.104133;0.002638;-0.019843
95;-0.109287;0.027703;-0.014873
96;-0.108673;0.039082;0.014835
97;-0.094799;0.051670;0.003253
98;-0.090474;0.046462;-0.000515
99;-0.089968;0.039928;-0.007993
100;-0.145578;-0.022135;-0.027806
101;-0.144863;0.013701;-0.081772
102;-0.129502;0.027010;-0.014713
103;-0.100249;0.049305;-0.040312
104;-0.094175;0.014438;0.081215
105;-0.060295;0.083754;-0.029272
106;0.095091;0.043113;0.049873
107;0.026248;0.041734;0.008945
108;0.002749;-0.035731;-0.002393
109;-0.016405;-0.061051;-0.030124
110;-0.043418;-0.071518;-0.029601
111;-0.094458;-0.069251;0.016049
112;-0.060628;-0.028058;0.089264
113;-0.100418;-0.029471;0.059274
114;-0.039447;0.053882;0.114117
115;-0.102608;-0.011865;0.054393
116;-0.082613;0.014164;0.054786
117;-0.108705;-0.077338;-0.046777
118;0.045838;0.041222;-0.093052
119;-0.060858;-0.009436;-0.103157
120;0.071423;0.031698;-0.156992
121;-0.026604;-0.075792;-0.014729
122;0.122503;-0.009037;-0.043005
123;0.045423;-0.037441;0.105132
124;0.000221;-0.012986;0.091297
125;0.033004;0.054048;0.080703
126;-0.025954;0.033367;0.003784
127;-0.029015;0.060327;0.006260
128;-0.080708;-0.021697;0.052378
129;0.021662;0.022063;-0.109153
130;-0.046255;0.041575;0.044128
131;0.111141;0.050807;-0.201352
132;-0.104986;-0.110949;0.045168
133;0.126672;0.085878;-0.052058
134;0.004055;-0.049351;0.086033
135;0.032502;0.043425;0.045735
136;-0.093757;-0.045956;0.095427
137;-0.037412;0.088802;0.085500
138;-0.047228;-0.018075;0.131349
139;0.001196;0.033919;-0.017164
140;-0.024798;-0.000454;-0.101477
141;-0.017812;0.132735;-0.246481
142;0.107259;-0.037850;-0.172790
143;-0.004348;-0.092699;0.078372
144;0.071490;0.017819;-0.179886
145;0.089647;-0.007841;0.065184
146;-0.005190;-0.005541;0.187183
147;0.004769;0.034703;0.126821
148;0.020639;0.094297;0.080314
149;0.078890;0.092280;0.045352
150;-0.003455;-0.041668;0.055449
151;0.034886;0.014942;-0.101305
152;-0.014224;0.045520;-0.049014
153;0.173876;-0.028089;-0.238776
154;-0.052473;-0.120249;0.046441
155;0.064176;-0.069618;-0.030928
156;0.040781;-0.078160;-0.032359
157;0.025361;-0.077808;-0.023788
158;0.067791;-0.051269;0.098164
159;0.101056;-0.059052;0.076333
160;0.116896;-0.032979;0.009082
161;0.123922;-0.043710;0.033740
162;0.128897;-0.015675;0.058494
163;0.030343;0.029515;-0.017894
164;0.232359;0.110805;-0.056110
165;0.044827;-0.027559;-0.030867
166;0.185806;0.132765;0.005526
167;0.010407;-0.030085;0.074259
